yearmonth,연도,월,분기,계절,코로나기간,SRT개통후,노선,여객수_천명,KTX이용률,공실률,초과수요,공실상태,KTX전체이용률,KTX전체공실률,개통전,공휴일수,설날달,추석달,명절연휴포함,명절전달,명절후달,황금연휴포함
2004-04-01,2004,4,2,봄,0,0,경부선,1771.0,70.0,30.0,0,공실있음,61.0,39.0,0,1,0,0,0,0,0,0
2004-04-01,2004,4,2,봄,0,0,호남선,356.0,38.0,62.0,0,공실있음,61.0,39.0,0,1,0,0,0,0,0,0
2004-05-01,2004,5,2,봄,0,0,경부선,1945.0,75.0,25.0,0,공실있음,65.0,35.0,0,2,0,0,0,0,0,0
2004-05-01,2004,5,2,봄,0,0,호남선,369.0,39.0,61.0,0,공실있음,65.0,35.0,0,2,0,0,0,0,0,0
2004-06-01,2004,6,2,여름,0,0,경부선,1695.0,67.0,33.0,0,공실있음,57.0,43.0,0,1,0,0,0,0,0,0
2004-06-01,2004,6,2,여름,0,0,호남선,273.0,30.0,70.0,0,공실있음,57.0,43.0,0,1,0,0,0,0,0,0
2004-07-01,2004,7,3,여름,0,0,경부선,1845.0,72.0,28.0,0,공실있음,61.0,39.0,0,1,0,0,0,0,0,0
2004-07-01,2004,7,3,여름,0,0,호남선,307.0,32.0,68.0,0,공실있음,61.0,39.0,0,1,0,0,0,0,0,0
2004-08-01,2004,8,3,여름,0,0,경부선,1893.0,75.0,25.0,0,공실있음,65.0,35.0,0,1,0,0,0,1,0,0
2004-08-01,2004,8,3,여름,0,0,호남선,354.0,37.0,63.0,0,공실있음,65.0,35.0,0,1,0,0,0,1,0,0
2004-09-01,2004,9,3,가을,0,0,경부선,1825.0,73.0,27.0,0,공실있음,65.0,35.0,0,3,0,1,1,0,0,1
2004-09-01,2004,9,3,가을,0,0,호남선,430.0,45.0,55.0,0,공실있음,65.0,35.0,0,3,0,1,1,0,0,1
2004-10-01,2004,10,4,가을,0,0,경부선,1912.0,76.0,24.0,0,공실있음,65.0,35.0,0,1,0,0,0,0,1,0
2004-10-01,2004,10,4,가을,0,0,호남선,366.0,38.0,62.0,0,공실있음,65.0,35.0,0,1,0,0,0,0,1,0
2004-11-01,2004,11,4,가을,0,0,경부선,1838.0,76.0,24.0,0,공실있음,66.0,34.0,0,0,0,0,0,0,0,0
