Unnamed: 0,yearmonth,연도,월,분기,계절,코로나기간,SRT개통후,노선,여객수_천명,KTX이용률,공실률,초과수요,공실상태,KTX전체이용률,KTX전체공실률,개통전,공실률_lag1,공실률_lag12,공실률_ma3,공휴일수,명절연휴포함,황금연휴포함,명절전달,명절후달
24,2005-04-01,2005,4,2,봄,0,0,경부선,2123.0,78.0,22.0,0,공실있음,68.0,32.0,0,27.0,30.0,24.33333333333333,1,0,0,0,0
26,2005-05-01,2005,5,2,봄,0,0,경부선,2247.0,79.0,21.0,0,공실있음,70.0,30.0,0,22.0,25.0,23.33333333333333,2,0,0,0,0
28,2005-06-01,2005,6,2,여름,0,0,경부선,2129.0,77.0,23.0,0,공실있음,68.0,32.0,0,21.0,33.0,23.33333333333333,1,0,0,0,0
30,2005-07-01,2005,7,3,여름,0,0,경부선,2227.0,77.0,23.0,0,공실있음,68.0,32.0,0,23.0,28.0,22.0,1,0,0,0,0
32,2005-08-01,2005,8,3,여름,0,0,경부선,2415.0,84.0,16.0,0,공실있음,74.0,26.0,0,23.0,25.0,22.33333333333333,1,0,0,1,0
34,2005-09-01,2005,9,3,가을,0,0,경부선,2227.0,79.0,21.0,0,공실있음,70.0,30.0,0,16.0,27.0,20.666666666666668,3,1,0,0,0
36,2005-10-01,2005,10,4,가을,0,0,경부선,2462.0,84.0,16.0,0,공실있음,75.0,25.0,0,21.0,24.0,20.0,1,0,0,0,1
38,2005-11-01,2005,11,4,가을,0,0,경부선,2390.0,82.0,18.0,0,공실있음,74.0,26.0,0,16.0,24.0,17.666666666666668,0,0,0,0,0
40,2005-12-01,2005,12,4,겨울,0,0,경부선,2590.0,85.0,15.0,0,공실있음,80.0,20.0,0,18.0,25.0,18.33333333333333,1,0,0,1,0
42,2006-01-01,2006,1,1,겨울,0,0,경부선,2617.0,84.0,16.0,0,공실있음,77.0,23.0,0,15.0,25.0,16.333333333333332,4,1,0,0,0
44,2006-02-01,2006,2,1,겨울,0,0,경부선,2347.0,86.0,14.0,0,공실있음,77.0,23.0,0,16.0,21.0,16.333333333333332,0,0,0,0,0
46,2006-03-01,2006,3,1,봄,0,0,경부선,2230.0,74.0,26.0,0,공실있음,66.0,34.0,0,14.0,27.0,15.0,1,0,0,0,0
48,2006-04-01,2006,4,2,봄,0,0,경부선,2488.0,84.0,16.0,0,공실있음,76.0,24.0,0,26.0,22.0,18.666666666666668,0,0,0,0,0
50,2006-05-01,2006,5,2,봄,0,0,경부선,2587.0,85.0,15.0,0,공실있음,77.0,23.0,0,16.0,21.0,18.666666666666668,2,0,0,0,0
52,2006-06-01,2006,6,2,여름,0,0,경부선,2369.0,81.0,19.0,0,공실있음,72.0,28.0,0,15.0,23.0,19.0,1,0,0,0,0
54,2006-07-01,2006,7,3,여름,0,0,경부선,2473.0,80.0,20.0,0,공실있음,72.0,28.0,0,19.0,23.0,16.666666666666668,1,0,0,0,0
56,2006-08-01,2006,8,3,여름,0,0,경부선,2600.0,85.0,15.0,0,공실있음,77.0,23.0,0,20.0,16.0,18.0,1,0,0,0,0
