yearmonth,고속철도 여객수 계,KTX이용률,SRT이용률,경부선 KTX여객수,경부선 KTX이용률,경부선 SRT여객수,경부선 SRT이용률,호남선 KTX여객수,호남선 KTX이용률,호남선 SRT여객수,호남선 SRT이용률,경전선 KTX여객수,경전선  KTX이용률,경전선 SRT 여객수,경전선 SRT 이용률,전라선 KTX여객수,전라선 KTX이용률,전라선 SRT여객수,전라선 SRT이용률,동해선 KTX여객수,동해선 KTX이용률,동해선 SRT여객수,동해선 SRT이용률,KTX_공실률,경부선_KTX_공실률,호남선_KTX_공실률,경전선_KTX_공실률,전라선_KTX_공실률,동해선_KTX_공실률,연도,월,분기,계절,코로나기간,SRT개통후
2004-04-01,2127.0,61.0,,1771.0,70.0,,,356.0,38.0,,,,,,,,,,,,,,,39.0,30.0,62.0,,,,2004,4,2,봄,0,0
2004-05-01,2314.0,65.0,,1945.0,75.0,,,369.0,39.0,,,,,,,,,,,,,,,35.0,25.0,61.0,,,,2004,5,2,봄,0,0
2004-06-01,1968.0,57.0,,1695.0,67.0,,,273.0,30.0,,,,,,,,,,,,,,,43.0,33.0,70.0,,,,2004,6,2,여름,0,0
2004-07-01,2152.0,61.0,,1845.0,72.0,,,307.0,32.0,,,,,,,,,,,,,,,39.0,28.0,68.0,,,,2004,7,3,여름,0,0
2004-08-01,2247.0,65.0,,1893.0,75.0,,,354.0,37.0,,,,,,,,,,,,,,,35.0,25.0,63.0,,,,2004,8,3,여름,0,0
2004-09-01,2255.0,65.0,,1825.0,73.0,,,430.0,45.0,,,,,,,,,,,,,,,35.0,27.0,55.0,,,,2004,9,3,가을,0,0
2004-10-01,2278.0,65.0,,1912.0,76.0,,,366.0,38.0,,,,,,,,,,,,,,,35.0,24.0,62.0,,,,2004,10,4,가을,0,0
2004-11-01,2200.0,66.0,,1838.0,76.0,,,363.0,39.0,,,,,,,,,,,,,,,34.0,24.0,61.0,,,,2004,11,4,가을,0,0
2004-12-01,2340.0,65.0,,1974.0,75.0,,,366.0,37.0,,,,,,,,,,,,,,,35.0,25.0,63.0,,,,2004,12,4,겨울,0,0
2005-01-01,2456.0,65.0,,2068.0,75.0,,,388.0,38.0,,,,,,,,,,,,,,,35.0,25.0,62.0,,,,2005,1,1,겨울,0,0
