source_date,station_name,unit,boarding_count,alighting_count,total_count
2024-12-31,서울,명,21184388,21149560,42333948
2024-12-31,동대구,명,9690722,9749141,19439863
2024-12-31,대전,명,9009235,9084554,18093789
2024-12-31,부산,명,8631449,8615568,17247017
2024-12-31,용산,명,7398356,7462137,14860493
2024-12-31,광명,명,6309756,6283382,12593138
2024-12-31,수원,명,5945346,6056375,12001721
2024-12-31,오송,명,4981309,4858685,9839994
2024-12-31,천안아산,명,4582186,4606567,9188753
2024-12-31,영등포,명,3689095,3706708,7395803
2024-12-31,청량리,명,2867251,3020940,5888191
2024-12-31,광주송정,명,2799119,2850423,5649542
2024-12-31,익산,명,2675855,2643094,5318949
2024-12-31,울산,명,2287732,2304373,4592105
2024-12-31,천안,명,2225184,2235358,4460542
2024-12-31,평택,명,2137361,2115933,4253294
2024-12-31,구미,명,2080256,2100303,4180559
2024-12-31,서대전,명,2011790,1930974,3942764
2024-12-31,대구,명,1877356,1878898,3756254
2024-12-31,전주,명,1795562,1782323,3577885
2024-12-31,강릉,명,1587288,1563071,3150359
2024-12-31,경주,명,1471334,1494130,2965464
2024-12-31,조치원,명,1435147,1449637,2884784
2024-12-31,포항,명,1429247,1443564,2872811
2024-12-31,순천,명,1341986,1337627,2679613
2024-12-31,구포,명,1290455,1339813,2630268
2024-12-31,창원중앙,명,1271592,1247955,2519547
2024-12-31,김천구미,명,1164715,1160952,2325667
2024-12-31,행신,명,1123352,1070805,2194157
2024-12-31,밀양,명,1053790,1067019,2120809
2024-12-31,경산,명,1027183,991888,2019071
2024-12-31,목포,명,1025031,1042634,2067665
2024-12-31,제천,명,931495,917918,1849413
2024-12-31,김천,명,811164,816758,1627922
2024-12-31,여수엑스포,명,789092,791365,1580457
2024-12-31,원주,명,753506,725456,1478962
2024-12-31,서대구,명,712850,696055,1408905
2024-12-31,신탄진,명,658576,643344,1301920
2024-12-31,왜관,명,652696,644146,1296842
2024-12-31,논산,명,628066,633153,1261219
2024-12-31,양평,명,617965,584506,1202471
2024-12-31,마산,명,617774,625387,1243161
2024-12-31,정읍,명,603817,612974,1216791
2024-12-31,만종,명,583050,558153,1141203
2024-12-31,물금,명,574267,551838,1126105
2024-12-31,진주,명,572625,557021,1129646
2024-12-31,충주,명,523808,513678,1037486
2024-12-31,홍성,명,508258,510846,1019104
2024-12-31,나주,명,479906,468430,948336
2024-12-31,대천,명,478954,484430,963384
2024-12-31,안동,명,475335,470562,945897
2024-12-31,영동,명,466402,476104,942506
