station_name,boarding_count,alighting_count,total_count,boarding_share
서울,21184388,21149560,42333948,0.14629629980037798
동대구,9690722,9749141,19439863,0.06692271549190464
대전,9009235,9084554,18093789,0.062216465471273394
부산,8631449,8615568,17247017,0.05960753034808807
용산,7398356,7462137,14860493,0.05109196958656183
광명,6309756,6283382,12593138,0.04357425644976073
수원,5945346,6056375,12001721,0.04105769403548396
오송,4981309,4858685,9839994,0.03440019484453934
천안아산,4582186,4606567,9188753,0.03164390950529677
영등포,3689095,3706708,7395803,0.025476353063023364
청량리,2867251,3020940,5888191,0.019800818031605803
광주송정,2799119,2850423,5649542,0.019330308357311726
익산,2675855,2643094,5318949,0.01847906511636496
울산,2287732,2304373,4592105,0.01579874417589587
천안,2225184,2235358,4460542,0.015366796792760986
평택,2137361,2115933,4253294,0.014760303938807942
구미,2080256,2100303,4180559,0.014365945121357063
서대전,2011790,1930974,3942764,0.013893128891682045
대구,1877356,1878898,3756254,0.012964747256708025
전주,1795562,1782323,3577885,0.012399889799137285
강릉,1587288,1563071,3150359,0.010961579872760184
경주,1471334,1494130,2965464,0.010160818427725614
조치원,1435147,1449637,2884784,0.00991091627332416
포항,1429247,1443564,2872811,0.009870171732163839
순천,1341986,1337627,2679613,0.009267559968402677
구포,1290455,1339813,2630268,0.008911694383566652
창원중앙,1271592,1247955,2519547,0.008781429251379
김천구미,1164715,1160952,2325667,0.008043352247041419
행신,1123352,1070805,2194157,0.007757705390089825
밀양,1053790,1067019,2120809,0.007277320343955196
경산,1027183,991888,2019071,0.007093576275031012
목포,1025031,1042634,2067665,0.007078714876289145
제천,931495,917918,1849413,0.006432768875954929
김천,811164,816758,1627922,0.0056017805060629465
여수엑스포,789092,791365,1580457,0.005449354486996739
원주,753506,725456,1478962,0.0052036027511100915
서대구,712850,696055,1408905,0.004922838333243304
신탄진,658576,643344,1301920,0.004548029989694946
왜관,652696,644146,1296842,0.004507423565623303
논산,628066,633153,1261219,0.004337332370915044
양평,617965,584506,1202471,0.004267576335277686
마산,617774,625387,1243161,0.004266257317080801
정읍,603817,612974,1216791,0.0041698723067461205
만종,583050,558153,1141203,0.004026458427716221
물금,574267,551838,1126105,0.0039658043082228134
진주,572625,557021,1129646,0.003954464895242263
충주,523808,513678,1037486,0.0036173417993399853
홍성,508258,510846,1019104,0.003509955762892018
나주,479906,468430,948336,0.0033141609779805863
대천,478954,484430,963384,0.003307586604559463
안동,475335,470562,945897,0.0032825943173629877
영동,466402,476104,942506,0.003220904319704487
여천,445522,439436,884958,0.003076710079123551
청도,437106,443523,880629,0.0030185904082074035
아산,430592,402341,832933,0.0029736056724246345
남원,419702,422869,842571,0.002898400917638888
영천,414038,396399,810437,0.0028592861581249788
태화강,411192,401941,813133,0.0028396320964059487
하양,402854,345640,748494,0.0027820510821356496
영주,385800,373887,759687,0.0026642786406190174
동해,362680,365589,728269,0.0025046152861060273
예산,331149,333886,665035,0.002286866789949059
계룡,330416,320471,650887,0.0022818047986489717
온양온천,317480,302073,619553,0.0021924706656913573
창원,289310,318454,607764,0.001997932746286905
진영,270238,258281,528519,0.001866224290522556
부전,244967,260015,504982,0.001691706443122133
북울산,234120,223501,457621,0.001616798640077046
군산,232847,250591,483438,0.0016080074873826241
안양,215086,201448,416534,0.0014853526067811873
옥천,210370,199015,409385,0.0014527845972706654
상봉,208230,234372,442602,0.0014380060687820063
진부,197246,197349,394595,0.001362152163679468
김제,191719,197245,388964,0.0013239835062230105
오근장,172860,168940,341800,0.0011937459974530932
묵호,170828,156801,327629,0.0011797133012433011
판교(경기),166074,172994,339068,0.0011468828692642891
광주,160341,175593,335934,0.0011072916057944372
공주,154777,153879,308656,0.0010688674317239236
삼랑진,142934,143485,286419,0.0009870813976626197
횡성,140786,143943,284729,0.0009722476223384889
삽교,138991,135210,274201,0.0009598516136295435
평창,137336,142593,279929,0.0009484224245413515
광천,137107,133716,270823,0.0009468409838759762
청주,134620,143822,278442,0.0009296661238987355
증평,131973,126563,258536,0.0009113863272120623
용문,128421,117753,246174,0.0008868567322626616
태백,127429,124141,251570,0.0008800061246641804
곡성,125449,129242,254691,0.0008663325328849537
서원주,119600,112963,232563,0.0008259401903007634
단양,119408,118451,237859,0.0008246142662494444
정동진,115720,126263,241983,0.0007991454750970262
서천,115264,119413,234677,0.0007959964054751437
영월,110325,102512,212837,0.0007618883904258505
장성,107358,107067,214425,0.0007413987203203123
구례구,106564,109192,215756,0.0007359154718997537
강경,103901,106560,210461,0.0007175251815421372
사북,96629,98719,195348,0.000667305808098432
오산,91262,97678,188940,0.0006302420873514069
풍기,89064,88648,177712,0.0006150630193055785
신해운대,88935,93133,182068,0.0006141721640835986
양동,84462,87133,171595,0.0005832822772005274
청주공항,82182,88274,170456,0.0005675369290911148
화명,81353,66411,147764,0.0005618119757653679
음성,79119,80240,159359,0.0005463842969599172
둔내,71564,73659,145223,0.0004942105667114032
원동,70570,74115,144685,0.0004873461474040541
신례원,60559,61128,121687,0.0004182116386657519
분천,59455,52687,112142,0.00041058757537066796
장항,55381,55491,110872,0.00038245312440674396
웅천,54164,55375,109539,0.0003740486995606233
삼례,53904,56458,110362,0.00037225317740779555
철암,52100,54232,106332,0.0003597950160089446
부강,49566,48825,98391,0.000342295580873308
도계,49181,47482,96663,0.00033963682691623615
주덕,48283,46110,94393,0.0003334353696345465
임실,48241,47411,95652,0.00033314532374832044
덕소,46283,52183,98466,0.00031962366076664073
약목,44955,48977,93932,0.0003104526860783513
기장,44355,39648,84003,0.00030630917341797957
황간,43515,42976,86491,0.0003005082556934592
전의,42610,38052,80662,0.00029425845743073184
상주,40147,37704,77851,0.0002772493379599059
신태인,39607,41020,80627,0.0002735201765655714
의성,39604,40279,79883,0.0002734994590022695
