연도,구분,열차종,단위,인원
2016,정기, KTX ,명,3106160
2016,정기, 새마을 ,명,359248
2016,정기, 무궁화 ,명,6642374
2016,정기, 통근열차 ,명,17366
2016, 비정기 , KTX ,명,60822555
2016, 비정기 , 새마을 ,명,9370394
2016, 비정기 , 무궁화 ,명,53851928
2016, 비정기 , 통근열차 ,명,472604
2016, 기타 , 고속철도 ,명,688413
2016, 기타 , 새마을 ,명,51775
2016, 기타 , 무궁화 ,명,149429
2016, 기타 , 통근열차 ,명,96
2017,정기, KTX ,명,3025768
2017,정기, 새마을 ,명,482460
2017,정기, 무궁화 ,명,5656574
2017,정기, 통근열차 ,명,12662
2017, 비정기 , KTX ,명,56143419
2017, 비정기 , 새마을 ,명,10230870
2017, 비정기 , 무궁화 ,명,50997104
2017, 비정기 , 통근열차 ,명,461720
2017, 기타 , 고속철도 ,명,661780
2017, 기타 , 새마을 ,명,42024
2017, 기타 , 무궁화 ,명,128095
2017, 기타 , 통근열차 ,명,4
2018,정기, KTX ,명,3241398
2018,정기, 새마을 ,명,509002
2018,정기, 무궁화 ,명,5716504
2018,정기, 통근열차 ,명,7900
2018, 비정기 , KTX ,명,63111757
2018, 비정기 , 새마을 ,명,10202333
2018, 비정기 , 무궁화 ,명,50764047
2018, 비정기 , 통근열차 ,명,381793
2018, 기타 , 고속철도 ,명,688039
2018, 기타 , 새마을 ,명,40581
2018, 기타 , 무궁화 ,명,121455
2018, 기타 , 통근열차 ,명,0
2019,정기, KTX ,명,3644552
2019,정기, 새마을 ,명,556214
2019,정기, 무궁화 ,명,6234608
2019,정기, 통근열차 ,명,1604
2019, 비정기 , KTX ,명,66569254
2019, 비정기 , 새마을 ,명,10797573
2019, 비정기 , 무궁화 ,명,50763062
2019, 비정기 , 통근열차 ,명,96750
2019, 기타 , 고속철도 ,명,697645
2019, 기타 , 새마을 ,명,43174
2019, 기타 , 무궁화 ,명,126685
2019, 기타 , 통근열차 ,명,2
2020,정기, KTX ,명,3130152
2020,정기, 새마을 ,명,390200
2020,정기, 무궁화 ,명,4465424
2020,정기, 통근열차 ,명,14608
2020, 비정기 , KTX ,명,40152202
2020, 비정기 , 새마을 ,명,6391722
2020, 비정기 , 무궁화 ,명,30218912
2020, 비정기 , 통근열차 ,명,97430
2020, 기타 , 고속철도 ,명,278026
2020, 기타 , 새마을 ,명,20031
2020, 기타 , 무궁화 ,명,67704
2020, 기타 , 통근열차 ,명,18
2021,정기, KTX ,명,3426750
2021,정기, 새마을 ,명,424514
2021,정기, 무궁화 ,명,4737546
2021,정기, 통근열차 ,명,19090
2021, 비정기 , KTX ,명,46931814
2021, 비정기 , 새마을 ,명,6966301
2021, 비정기 , 무궁화 ,명,30680524
2021, 비정기 , 통근열차 ,명,130460
2021, 기타 , 고속철도 ,명,159789
2021, 기타 , 새마을 ,명,12219
2021, 기타 , 무궁화 ,명,46876
2021, 기타 , 통근열차 ,명,16
2022,정기, KTX ,명,4039568
2022,정기, 새마을 ,명,531290
2022,정기, 무궁화 ,명,5121520
2022,정기, 통근열차 ,명,22620
2022, 비정기 , KTX ,명,66467183
2022, 비정기 , 새마을 ,명,9750233
2022, 비정기 , 무궁화 ,명,34938782
2022, 비정기 , 통근열차 ,명,175957
2022, 기타 , 고속철도 ,명,294640
2022, 기타 , 새마을 ,명,16265
2022, 기타 , 무궁화 ,명,47821
2022, 기타 , 통근열차 ,명,26
2023,정기, KTX ,명,4391114
2023,정기, 새마을 ,명,654786
2023,정기, 무궁화 ,명,4683008
2023,정기, 통근열차 ,명,25156
2023, 비정기 , KTX ,명,79263575
2023, 비정기 , 새마을 ,명,13150164
2023, 비정기 , 무궁화 ,명,33896781
2023, 비정기 , 통근열차 ,명,199210
2023, 기타 , 고속철도 ,명,359255
2023, 기타 , 새마을 ,명,20703
2023, 기타 , 무궁화 ,명,49624
2023, 기타 , 통근열차 ,명,93
2024,정기, KTX ,명,4674308
2024,정기, 새마을 ,명,790682
2024,정기, 무궁화 ,명,4235550
2024,정기, 통근열차 ,명,0
2024, 비정기 , KTX ,명,84798878
2024, 비정기 , 새마을 ,명,17325482
2024, 비정기 , 무궁화 ,명,32487715
2024, 비정기 , 통근열차 ,명,0
2024, 기타 , 고속철도 ,명,417186
2024, 기타 , 새마을 ,명,30704
2024, 기타 , 무궁화 ,명,44169
2024, 기타 , 통근열차 ,명,0
